Estacao,Componente,Tipo Onda,Hora,Min,Seg,Data,Distancia,Tipo Ev,Lat,Long,Prof,Estacoes,Magnitudes,ID,Sentido,Regiao,Onda,Amplitude
PVNV,EN,S,8,39,47.55,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PVNV,EZ,IAML,8,39,47.85,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],148.0
PMAT,EN,S,8,39,47.1,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PMAT,EZ,IAML,8,39,47.62,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],420.0
LFA,EZ,P,8,39,36.53,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PPAD,EZ,P,8,39,37.15,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PPAD,EN,S,8,39,48.59,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PPAD,EZ,IAML,8,39,49.04,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],149.0
PRCH,EZ,P,8,39,37.21,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PRCH,EN,S,8,39,48.28,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
MESC,EZ,P,8,39,37.08,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
MESC,EN,S,8,39,48.14,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
MESC,EZ,IAML,8,39,48.28,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],160.0
VIF,EN,S,8,39,48.93,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PBIS,EN,,8,39,50.26,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
ASBA,EN,S,8,39,49.44,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PCNG,EZ,P,8,39,37.94,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PCNG,EN,S,8,39,50.3,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
MIRA,EZ,,8,39,51.05,2014-01-06T08:39:22.500000,Local,Quake,38.082,-26.498,0.0,19,"[{'Magnitude': ' 2.8', 'Tipo': 'L'}, {'Magnitude': ' 2.7', 'Tipo': 'C'}]",20140106083922,,"Fossa Hirondelle,SZ18,FE95 405",['2014-01-06-0839-02S_SWARM.SEI'],
PTCA,EZ,P,22,46,10.07,2014-01-08T22:46:05.400000,Local,Quake,38.46,-29.065,8.7,7,"[{'Magnitude': ' 2.1', 'Tipo': 'L'}, {'Magnitude': ' 2.0', 'Tipo': 'C'}]",20140108224605,,"WSW Faial,SZ31,FE95 405",['2014-01-08-2245-41S_SWARM.SEI'],
